Hardware allocated: cuda
STATERA PoC Temporal Tracking Training Started...
Epoch[5/50] | Train Batch[180/334] | Time (10 batches): 69.05s | Loss: 8.4538 (wH: 5.8004, wZ: 0.6942, wM: 25.8394)
Epoch[5/50] | Train Batch[190/334] | Time (10 batches): 69.07s | Loss: 7.9526 (wH: 6.0769, wZ: 0.9975, wM: 17.7587)
Epoch[5/50] | Train Batch[200/334] | Time (10 batches): 69.09s | Loss: 7.3743 (wH: 5.7911, wZ: 0.8469, wM: 14.9853)
Epoch[5/50] | Train Batch[210/334] | Time (10 batches): 69.11s | Loss: 7.8130 (wH: 5.9632, wZ: 0.7583, wM: 17.7395)
Epoch[5/50] | Train Batch[220/334] | Time (10 batches): 69.14s | Loss: 8.5642 (wH: 6.0353, wZ: 0.8667, wM: 24.4221)
Epoch[5/50] | Train Batch[230/334] | Time (10 batches): 69.10s | Loss: 8.1694 (wH: 5.8309, wZ: 0.5079, wM: 22.8776)
Epoch[5/50] | Train Batch[240/334] | Time (10 batches): 69.07s | Loss: 8.8958 (wH: 5.6879, wZ: 0.5374, wM: 31.5415)
Epoch[5/50] | Train Batch[250/334] | Time (10 batches): 69.05s | Loss: 8.1414 (wH: 6.1170, wZ: 1.6258, wM: 18.6179)
Epoch[5/50] | Train Batch[260/334] | Time (10 batches): 69.10s | Loss: 7.8840 (wH: 5.8303, wZ: 0.7813, wM: 19.7555)
Epoch[5/50] | Train Batch[270/334] | Time (10 batches): 69.13s | Loss: 7.5452 (wH: 5.8767, wZ: 1.2527, wM: 15.4318)
Epoch[5/50] | Train Batch[280/334] | Time (10 batches): 69.10s | Loss: 8.2567 (wH: 6.0131, wZ: 0.8267, wM: 21.6088)
Epoch[5/50] | Train Batch[290/334] | Time (10 batches): 69.22s | Loss: 8.3990 (wH: 5.9020, wZ: 0.6074, wM: 24.3627)
Epoch[5/50] | Train Batch[300/334] | Time (10 batches): 69.08s | Loss: 7.6949 (wH: 5.8040, wZ: 0.4687, wM: 18.4399)
Epoch[5/50] | Train Batch[310/334] | Time (10 batches): 69.06s | Loss: 8.2303 (wH: 6.0425, wZ: 0.6177, wM: 21.2601)
Epoch[5/50] | Train Batch[320/334] | Time (10 batches): 69.21s | Loss: 7.5840 (wH: 6.0245, wZ: 0.5167, wM: 15.0780)
Epoch[5/50] | Train Batch[330/334] | Time (10 batches): 69.07s | Loss: 7.6491 (wH: 5.6507, wZ: 0.5887, wM: 19.3959)
=== Epoch 5 Completed in 2878.5s | Sigma: 11.23 ===
Train - wHeatmap: 5.8586 | wZ-Depth: 0.8690 | wMag: 19.2209
Val   - wHeatmap: 5.8367 | wZ-Depth: 0.7139 | wMag: 18.3409 ✓[Checkpoint Saved]
➔ PHYSICAL SCRUTINY: Missed CoM by 7.18 internal pixels -> ~43.1 pixels on ACTUAL 384x384 video.

